	PDB	Labels	Predictions
0	4fjk	6.55	6.03
1	2v7u	5.9	6.65
2	2hzl	6.57	4.72
3	2q89	6.3	5.01
4	1ukb	3.19	5.55
5	3c2f	2.0	4.76
6	2gz2	5.22	4.3
7	2v7v	6.66	6.24
8	3bu1	8.15	4.96
9	2qdt	5.19	3.74
10	1toi	4.05	6.1
11	2hzy	7.39	4.83
12	2pwd	4.4	6.2
13	2nsl	4.68	6.5
14	2qrl	4.0	4.85
15	2j4k	4.85	3.32
16	2cjp	3.1	5.8
17	1iup	2.54	5.11
18	2qry	8.64	7.7
19	2ihk	4.16	5.45
20	2nsj	4.79	6.5
21	2e2p	4.74	4.62
22	2pwg	4.82	6.04
23	2b3f	6.03	4.87
24	3brn	8.7	4.72
25	3c2r	3.11	4.02
26	2jgb	5.61	6.41
27	1tog	3.22	6.1
28	2v7t	7.48	7.07
29	2vhw	5.09	7.71
30	2q88	5.8	4.89
31	2vmd	3.02	4.74
32	3c2o	3.35	3.83
33	2ihj	4.59	5.45
34	1e2k	4.94	4.64
35	1u1w	5.85	3.54
36	2bvd	6.0	4.3
37	2aac	2.22	5.77
38	1tok	2.47	6.35
39	1dy4	4.36	4.27
40	1uz4	3.4	5.99
41	1gww	4.28	4.0
42	1x8d	2.21	4.59
43	1ui0	7.06	3.75
44	1lrh	6.82	5.5
45	1nw5	5.21	5.73
46	1v1j	4.82	4.04
47	2qrk	4.26	4.72
48	1h46	3.57	4.5
49	1gx0	4.28	4.0
50	4ubp	5.59	4.27
51	1bcj	3.7	4.39
52	1toj	3.39	6.1
53	1ia1	7.47	4.25
54	1sg0	7.47	4.94
55	1t9b	6.9	5.88
56	1of6	6.05	3.65
57	1t40	7.96	7.43
58	1mmv	7.24	4.61
59	1r55	6.8	5.96
60	1p2y	5.0	5.34
61	1sq5	4.39	5.4
62	1u1c	5.37	5.12
63	1r9o	5.02	5.72
64	1s19	9.51	8.26
65	1of1	4.82	4.6
66	1v4s	6.44	4.83
