	PDB	Labels	Predictions
0	4fjk	6.55	5.07
1	2v7u	5.9	5.03
2	2hzl	6.57	2.55
3	2q89	6.3	3.16
4	1ukb	3.19	3.4
5	3c2f	2.0	4.45
6	2gz2	5.22	5.17
7	2v7v	6.66	4.38
8	3bu1	8.15	2.7
9	2qdt	5.19	3.73
10	1toi	4.05	3.41
11	2hzy	7.39	3.72
12	2pwd	4.4	4.57
13	2nsl	4.68	4.47
14	2qrl	4.0	3.99
15	2j4k	4.85	4.24
16	2cjp	3.1	3.17
17	1iup	2.54	2.93
18	2qry	8.64	4.25
19	2ihk	4.16	5.49
20	2nsj	4.79	4.47
21	2e2p	4.74	4.16
22	2pwg	4.82	4.31
23	2b3f	6.03	4.2
24	3brn	8.7	3.01
25	3c2r	3.11	3.58
26	2jgb	5.61	5.02
27	1tog	3.22	3.41
28	2v7t	7.48	5.55
29	2vhw	5.09	5.13
30	2q88	5.8	2.28
31	2vmd	3.02	2.95
32	3c2o	3.35	3.15
33	2ihj	4.59	5.49
34	1e2k	4.94	5.04
35	1u1w	5.85	3.04
36	2bvd	6.0	6.49
37	2aac	2.22	3.75
38	1tok	2.47	3.42
39	1dy4	4.36	4.71
40	1uz4	3.4	4.24
41	1gww	4.28	3.78
42	1x8d	2.21	2.5
43	1ui0	7.06	4.23
44	1lrh	6.82	2.32
45	1nw5	5.21	4.51
46	1v1j	4.82	4.17
47	2qrk	4.26	4.69
48	1h46	3.57	3.72
49	1gx0	4.28	3.78
50	4ubp	5.59	4.08
51	1bcj	3.7	4.0
52	1toj	3.39	3.41
53	1ia1	7.47	4.83
54	1sg0	7.47	3.25
55	1t9b	6.9	6.94
56	1of6	6.05	4.25
57	1t40	7.96	5.08
58	1mmv	7.24	4.21
59	1r55	6.8	5.4
60	1p2y	5.0	4.77
61	1sq5	4.39	4.0
62	1u1c	5.37	4.44
63	1r9o	5.02	5.51
64	1s19	9.51	6.03
65	1of1	4.82	4.51
66	1v4s	6.44	5.8
