	PDB	Labels	Predictions
0	4fjk	6.55	5.44
1	2v7u	5.9	5.54
2	2hzl	6.57	3.32
3	2q89	6.3	6.31
4	1ukb	3.19	3.82
5	3c2f	2.0	4.16
6	2gz2	5.22	5.95
7	2v7v	6.66	5.45
8	3bu1	8.15	4.62
9	2qdt	5.19	6.14
10	1toi	4.05	4.01
11	2hzy	7.39	5.23
12	2pwd	4.4	5.78
13	2nsl	4.68	4.82
14	2qrl	4.0	4.61
15	2j4k	4.85	3.74
16	2cjp	3.1	4.31
17	1iup	2.54	3.8
18	2qry	8.64	6.23
19	2ihk	4.16	3.25
20	2nsj	4.79	4.82
21	2e2p	4.74	4.98
22	2pwg	4.82	5.28
23	2b3f	6.03	4.11
24	3brn	8.7	4.76
25	3c2r	3.11	3.76
26	2jgb	5.61	5.44
27	1tog	3.22	4.01
28	2v7t	7.48	6.5
29	2vhw	5.09	5.63
30	2q88	5.8	4.34
31	2vmd	3.02	5.45
32	3c2o	3.35	3.84
33	2ihj	4.59	3.25
34	1e2k	4.94	5.0
35	1u1w	5.85	4.94
36	2bvd	6.0	6.85
37	2aac	2.22	3.85
38	1tok	2.47	4.33
39	1dy4	4.36	6.88
40	1uz4	3.4	5.46
41	1gww	4.28	4.61
42	1x8d	2.21	4.65
43	1ui0	7.06	4.92
44	1lrh	6.82	4.64
45	1nw5	5.21	4.95
46	1v1j	4.82	3.4
47	2qrk	4.26	5.31
48	1h46	3.57	6.16
49	1gx0	4.28	4.61
50	4ubp	5.59	4.36
51	1bcj	3.7	5.02
52	1toj	3.39	4.01
53	1ia1	7.47	5.36
54	1sg0	7.47	5.04
55	1t9b	6.9	7.61
56	1of6	6.05	4.37
57	1t40	7.96	8.93
58	1mmv	7.24	4.36
59	1r55	6.8	5.74
60	1p2y	5.0	5.21
61	1sq5	4.39	4.26
62	1u1c	5.37	5.16
63	1r9o	5.02	6.81
64	1s19	9.51	7.7
65	1of1	4.82	5.22
66	1v4s	6.44	7.13
