	PDB	Labels	Predictions
0	4fjk	6.55	4.54
1	2v7u	5.9	4.08
2	2hzl	6.57	4.24
3	2q89	6.3	4.04
4	1ukb	3.19	3.82
5	3c2f	2.0	5.46
6	2gz2	5.22	6.09
7	2v7v	6.66	2.98
8	3bu1	8.15	3.25
9	2qdt	5.19	4.61
10	1toi	4.05	4.13
11	2hzy	7.39	5.08
12	2pwd	4.4	4.88
13	2nsl	4.68	4.28
14	2qrl	4.0	4.94
15	2j4k	4.85	5.18
16	2cjp	3.1	4.87
17	1iup	2.54	4.1
18	2qry	8.64	5.39
19	2ihk	4.16	5.66
20	2nsj	4.79	4.28
21	2e2p	4.74	5.64
22	2pwg	4.82	4.68
23	2b3f	6.03	5.03
24	3brn	8.7	4.36
25	3c2r	3.11	5.01
26	2jgb	5.61	5.86
27	1tog	3.22	4.13
28	2v7t	7.48	4.2
29	2vhw	5.09	5.06
30	2q88	5.8	3.47
31	2vmd	3.02	3.76
32	3c2o	3.35	4.25
33	2ihj	4.59	5.66
34	1e2k	4.94	6.39
35	1u1w	5.85	3.28
36	2bvd	6.0	5.55
37	2aac	2.22	4.16
38	1tok	2.47	4.27
39	1dy4	4.36	5.36
40	1uz4	3.4	5.28
41	1gww	4.28	4.33
42	1x8d	2.21	4.62
43	1ui0	7.06	3.46
44	1lrh	6.82	4.2
45	1nw5	5.21	5.29
46	1v1j	4.82	5.64
47	2qrk	4.26	4.82
48	1h46	3.57	3.96
49	1gx0	4.28	4.33
50	4ubp	5.59	4.17
51	1bcj	3.7	4.32
52	1toj	3.39	4.13
53	1ia1	7.47	4.86
54	1sg0	7.47	4.19
55	1t9b	6.9	5.99
56	1of6	6.05	4.93
57	1t40	7.96	7.59
58	1mmv	7.24	6.99
59	1r55	6.8	6.71
60	1p2y	5.0	6.07
61	1sq5	4.39	4.93
62	1u1c	5.37	6.27
63	1r9o	5.02	6.75
64	1s19	9.51	7.98
65	1of1	4.82	5.9
66	1v4s	6.44	6.08
