	PDB	Labels	Predictions
0	4fjk	6.55	5.52
1	2v7u	5.9	6.28
2	2hzl	6.57	3.63
3	2q89	6.3	5.72
4	1ukb	3.19	4.18
5	3c2f	2.0	5.4
6	2gz2	5.22	5.28
7	2v7v	6.66	5.43
8	3bu1	8.15	4.93
9	2qdt	5.19	4.5
10	1toi	4.05	4.54
11	2hzy	7.39	6.02
12	2pwd	4.4	5.34
13	2nsl	4.68	4.94
14	2qrl	4.0	3.68
15	2j4k	4.85	5.46
16	2cjp	3.1	5.21
17	1iup	2.54	3.36
18	2qry	8.64	6.39
19	2ihk	4.16	6.23
20	2nsj	4.79	5.01
21	2e2p	4.74	5.45
22	2pwg	4.82	5.69
23	2b3f	6.03	4.82
24	3brn	8.7	5.89
25	3c2r	3.11	4.18
26	2jgb	5.61	5.58
27	1tog	3.22	4.56
28	2v7t	7.48	6.04
29	2vhw	5.09	5.11
30	2q88	5.8	5.42
31	2vmd	3.02	3.47
32	3c2o	3.35	4.53
33	2ihj	4.59	6.09
34	1e2k	4.94	6.36
35	1u1w	5.85	5.57
36	2bvd	6.0	5.51
37	2aac	2.22	4.75
38	1tok	2.47	3.46
39	1dy4	4.36	6.31
40	1uz4	3.4	5.04
41	1gww	4.28	5.36
42	1x8d	2.21	4.87
43	1ui0	7.06	4.41
44	1lrh	6.82	5.33
45	1nw5	5.21	6.52
46	1v1j	4.82	4.24
47	2qrk	4.26	4.91
48	1h46	3.57	5.88
49	1gx0	4.28	5.48
50	4ubp	5.59	5.16
51	1bcj	3.7	4.04
52	1toj	3.39	4.46
53	1ia1	7.47	5.74
54	1sg0	7.47	4.8
55	1t9b	6.9	6.34
56	1of6	6.05	5.36
57	1t40	7.96	6.41
58	1mmv	7.24	6.06
59	1r55	6.8	5.33
60	1p2y	5.0	4.88
61	1sq5	4.39	4.77
62	1u1c	5.37	5.87
63	1r9o	5.02	5.24
64	1s19	9.51	6.29
65	1of1	4.82	6.3
66	1v4s	6.44	6.93
