	PDB	Labels	Predictions
0	4fjk	6.55	5.23
1	2v7u	5.9	4.56
2	2hzl	6.57	3.2
3	2q89	6.3	5.24
4	1ukb	3.19	3.74
5	3c2f	2.0	5.04
6	2gz2	5.22	5.29
7	2v7v	6.66	5.41
8	3bu1	8.15	4.34
9	2qdt	5.19	6.04
10	1toi	4.05	4.09
11	2hzy	7.39	5.7
12	2pwd	4.4	5.6
13	2nsl	4.68	3.86
14	2qrl	4.0	4.28
15	2j4k	4.85	4.23
16	2cjp	3.1	3.91
17	1iup	2.54	4.28
18	2qry	8.64	5.47
19	2ihk	4.16	5.02
20	2nsj	4.79	3.86
21	2e2p	4.74	5.1
22	2pwg	4.82	5.26
23	2b3f	6.03	4.29
24	3brn	8.7	4.23
25	3c2r	3.11	3.71
26	2jgb	5.61	5.85
27	1tog	3.22	4.09
28	2v7t	7.48	4.93
29	2vhw	5.09	4.13
30	2q88	5.8	4.58
31	2vmd	3.02	3.35
32	3c2o	3.35	3.69
33	2ihj	4.59	5.02
34	1e2k	4.94	4.87
35	1u1w	5.85	4.4
36	2bvd	6.0	6.22
37	2aac	2.22	3.5
38	1tok	2.47	3.27
39	1dy4	4.36	4.74
40	1uz4	3.4	5.09
41	1gww	4.28	4.37
42	1x8d	2.21	3.14
43	1ui0	7.06	4.69
44	1lrh	6.82	3.79
45	1nw5	5.21	4.17
46	1v1j	4.82	5.57
47	2qrk	4.26	4.55
48	1h46	3.57	4.43
49	1gx0	4.28	4.37
50	4ubp	5.59	5.41
51	1bcj	3.7	5.17
52	1toj	3.39	4.09
53	1ia1	7.47	5.37
54	1sg0	7.47	5.57
55	1t9b	6.9	8.06
56	1of6	6.05	4.87
57	1t40	7.96	6.31
58	1mmv	7.24	4.1
59	1r55	6.8	7.55
60	1p2y	5.0	5.47
61	1sq5	4.39	5.57
62	1u1c	5.37	6.01
63	1r9o	5.02	5.01
64	1s19	9.51	8.91
65	1of1	4.82	4.91
66	1v4s	6.44	6.3
