UniProtIDs	PubChemCIDs	Labels	Predictions
A0A087WW23	85470875	8.9586	8.9103
A0A087WW23	86267448	7.3979	7.7464
A0A087WW23	86267449	6.3665	6.9031
A0A087WW23	86267868	6.3979	6.7344
A0A087WW23	86268087	8.9586	8.6633
A0A087WW23	86268088	6.7959	7.6645
A0A087WW23	86268287	8.0706	7.9545
A0A087WW23	86268288	7.8539	7.8267
A0A087WW23	86268290	7.6198	8.0217
A0A087WW23	86268479	5.6990	8.4444
A0A087WW23	86268485	9.3279	9.2361
A0A087WW23	86268486	8.6021	8.8504
A0A087WW23	86268487	9.1805	9.1980
A0A087WW23	86268684	7.7447	7.9013
A0A087WW23	86268690	8.2924	7.9448
A0A087WW23	86268893	8.3665	8.5478
A0A087WW23	86268894	8.5302	8.4962
A0A087WW23	86268895	5.6021	8.2767
A0A087WW23	86268896	7.0969	7.9537
A0A087WW23	86268897	8.1308	8.0003
A0A087WW23	86269094	8.2518	8.6258
A0A087WW23	86269298	8.3872	8.2546
A0A087WW23	86269300	6.0269	6.7377
A0A087WW23	86269301	8.1367	8.1610
A0A087WW23	86269504	7.3372	7.6599
A0A087WW23	86269505	7.3468	7.7063
A0A087WW23	86269709	7.2924	7.5628
A0A087WW23	86269710	8.2218	8.0671
A0A087WW23	86269907	7.0706	7.4355
A0A087WW23	86270093	7.6198	8.0149
A0A087WW23	86270475	6.6021	7.3254
A0A087WW23	90410109	8.2840	8.2049
A0A087WW23	90410121	7.5229	7.9629
A0A087WW23	90410124	8.0132	8.1680
A0A087WW23	90410148	8.6576	8.3214
A0A087WW23	90410156	8.6576	8.3636
A0A087WW23	90410179	7.7447	8.0851
A0A087WW23	90410205	7.2366	7.8537
A0A087WW23	90410206	6.6778	6.9522
A0A087WW23	90410254	8.0915	8.4903
A0A087WW23	90410266	9.2840	9.1758
A0A087WW23	90410270	7.8861	8.0765
A0A087WW23	90410288	8.8539	8.9383
A0A087WW23	90410291	5.8239	6.4803
A0A087WW23	90410293	8.5229	8.6511
A0A087WW23	90410300	8.5376	8.5181
A0A087WW23	90410390	8.0969	8.5101
A0A087WW23	90410395	8.8861	9.1115
A0A087WW23	90410417	8.9586	9.0646
A0A087WW23	90410420	7.4437	7.7985
A0A087WW23	90410467	7.6021	8.0813
A0A087WW23	90410476	6.3010	6.5356
A0A087WW23	90410481	8.1549	8.2834
A0A087WW23	90410486	8.5376	8.5307
A0A087WW23	90410514	9.3768	9.1741
A0A087WW23	90410515	8.3768	8.8739
A0A087WW23	90410519	8.2218	7.9578
A0A087WW23	90410523	6.2076	6.8409
A0A087WW23	90410531	6.1249	8.3980
A0A087WW23	90410611	8.1805	8.4183
A0A087WW23	90410664	7.7447	7.8599
A0A087WW23	90410852	8.8539	8.5564
A0A087WW23	90410863	7.4949	8.0051
A0A087WW23	90410869	7.9208	8.6598
A0A087WW23	90410873	7.2840	7.8061
A0A087WW23	90410884	7.7212	8.2554
A0A087WW23	90410891	7.4949	7.3838
A0A087WW23	90410896	8.6198	8.5958
A0A087WW23	90410926	7.5229	8.2676
A0A087WW23	90410998	8.0458	8.5317
A0A087WW23	90410999	7.4509	8.8845
A0A087WW23	90411001	9.4685	8.9406
A0A087WW23	90411011	6.1249	6.8444
A0A087WW23	90411013	5.7258	6.5305
A0A087WW23	90411059	8.0132	8.1432
A0A087WW23	90411072	7.6778	8.3219
A0A087WW23	90411078	7.3098	7.6962
A0A087WW23	90411108	8.9208	9.0386
A0A087WW23	90411136	6.0809	6.6628
A0A087WW23	90411222	7.5229	8.0956
A0A087WW23	90411232	6.8861	7.0604
A0A087WW23	90411250	7.8861	8.3623
A0A087WW23	90411253	8.2676	8.4851
A0A087WW23	90411422	8.1249	8.4363
A0A087WW23	90411457	7.8239	8.4629
A0A087WW23	90411514	7.6778	7.6266
A0A087WW23	90411515	8.5850	8.5649
A0A087WW23	90411579	8.5229	8.6535
A0A087WW23	90411747	7.6198	8.1404
A0A087WW23	90411788	8.1024	8.4392
A0A087WW23	90450794	8.6021	8.5730
A0A087WW23	90450796	8.0177	8.3037
A0A087WW23	90450797	7.2518	7.4055
A0A087WW23	90450798	7.2757	8.1092
A0A087WW23	90450799	8.7212	8.6187
A0A087WW23	90450801	7.7447	8.2901
A0A087WW23	90450802	8.1278	8.0225
A0A087WW23	90450803	6.1249	7.0520
A0A087WW23	90450806	7.8539	8.2087
A0A087WW23	90450807	7.6383	7.5920
A0A087WW23	90450808	7.3279	8.0719
A0A087WW23	90450810	8.2366	8.4256
A0A087WW23	90450811	7.7212	8.3291
A0A087WW23	90450812	8.4815	8.4862
A0A087WW23	90450813	7.6108	7.0048
A0A087WW23	90450814	5.7471	7.0189
A0A087WW23	90450815	7.1938	7.8031
A0A087WW23	90450816	8.1427	8.1986
A0A087WW23	90450818	8.6198	8.6112
A0A087WW23	90450819	8.3565	8.5777
A0A087WW23	90450820	8.4318	8.7104
A0A087WW23	90450821	8.1675	8.6668
A0A087WW23	90450822	8.1427	8.6019
A0A087WW23	90450824	8.3188	8.4633
A0A087WW23	90450825	7.9586	8.4325
A0A087WW23	90450826	8.1079	8.0867
A0A087WW23	90451198	7.2218	7.8897
A0A087WW23	91809429	7.9586	8.5377
A0A087WW23	91809430	7.1249	7.8301
A0A087WW23	91809431	7.5686	8.1868
A0A087WW23	91809432	6.1135	6.3054
A0A087WW23	91809433	5.9586	6.4383
A0A087WW23	91809434	7.9586	8.1994
A7MBE0	4636	7.6002	7.9181
A7MBE0	5265	7.5000	7.4477
A7MBE0	5401	7.5000	7.2835
A7MBE0	5775	7.9003	7.2296
A7MBE0	14743454	9.2007	8.7695
A7MBE0	21830793	8.1707	7.2663
A7MBE0	54069298	8.0000	7.9942
A8MPY1	119	6.2366	5.8828
A8MPY1	4266	6.3372	5.6688
A8MPY1	96215	6.8239	6.3748
A8MPY1	6400459	6.4437	6.3314
A8NS89	122229968	3.0969	3.6573
A8NS89	132502046	4.0969	4.2567
A8NS89	137635542	3.7959	4.2993
A8NS89	137642656	5.2757	4.5348
A8NS89	137652378	3.6990	4.4109
A8NS89	137655730	4.0969	4.4566
A8NS89	137657210	4.2218	4.4931
A9JQL9	5274428	6.4437	6.3894
A9JQL9	10265208	5.8239	5.8407
A9JQL9	44185317	6.0915	6.1680
A9JQL9	44185318	6.0915	6.4337
A9JQL9	56947011	9.3010	8.7969
A9JQL9	56947056	9.0000	8.5381
A9JQL9	57336498	6.3468	6.2638
A9JQL9	71179644	5.2848	5.3202
A9JQL9	72199697	7.3979	6.7382
A9JQL9	72200935	6.6021	6.3642
A9JQL9	75059312	8.8239	8.1987
A9JQL9	91929402	8.3010	8.1199
A9JQL9	91934183	8.3010	8.2225
A9JQL9	91935111	7.1549	7.0405
A9JQL9	91935112	6.6576	6.7226
A9JQL9	91935113	6.4949	6.5423
A9JQL9	91935114	6.4949	6.6582
A9JQL9	91935115	6.0410	6.1524
A9JQL9	91935119	6.0177	6.7034
A9JQL9	91935121	5.3872	5.9228
A9JQL9	91935122	5.2757	6.6810
A9JQL9	91935123	5.2441	6.1137
A9JQL9	145969300	5.1040	5.5066
A9JQL9	145971177	4.8523	5.2088
A9JQL9	145987262	5.1618	5.6243
A9JQL9	145987264	4.7029	5.1692
B0R470	9921157	6.0000	6.3736
B1JRQ0	44450124	5.2218	5.9877
B1JRQ0	121493780	6.3010	6.1382
B2RXH2	3341	5.7167	5.5729
B2RXH2	10365	3.0391	4.0611
B2RXH2	5281605	5.3635	5.5971
C7C422	124326	5.2916	5.5976
C7C422	29147132	4.0000	4.2520
C7C422	127043370	6.3098	5.6669
C7C422	130427303	4.2599	4.4499
C7C422	162653894	4.7696	4.4060
D0VWV4	11388558	6.4855	5.9979
H9TB17	932	3.8297	3.8395
H9TB17	555696	3.7959	3.7302
H9TB17	5281855	5.3439	5.5372
H9TB17	13428542	3.3546	3.6545
H9TB17	56663291	3.8729	4.2732
H9TB17	69001978	3.8539	3.7927
H9TB17	118986866	3.7959	3.6997
H9TB17	118986867	4.1421	4.5028
O00089	91931600	3.0000	3.1843
O00142	160155	4.6990	4.8038
O00142	5282192	4.9830	5.2613
O00142	6477686	6.3010	6.1334
O00142	46197457	6.6757	6.7406
O00142	46885197	6.8239	6.2113
O00222	2207	6.3979	6.0847
O00222	104766	4.3468	4.6484
O00222	179394	7.2147	6.5434
O00222	4545574	6.6778	5.9989
O00222	5310956	5.4685	5.4633
O00222	10058694	5.1367	5.3380
O00222	44322701	5.7696	5.6512
O00222	44322840	4.8239	5.2849
O00255	71561460	4.9355	5.7720
O00255	71561461	6.9101	6.5512
O00255	71561581	3.8447	5.4475
O00255	71562332	5.6635	6.2557
O00255	71562437	7.7447	6.7100
O00255	71562438	6.8665	6.7185
O00255	71562540	8.1612	6.7011
O00255	71562542	6.7055	6.0122
O00255	71562653	5.4789	6.7292
O00255	71562654	6.2321	6.1145
O00255	71562655	5.7352	6.0565
O00255	71562785	5.4976	6.0701
O00255	71562787	7.5686	6.1918
O00255	71562903	7.1739	6.3190
O00255	71562904	5.7799	6.2022
O00255	71563031	7.3468	6.5236
O00255	71563032	6.2604	6.6138
O00255	71563033	6.4789	6.2387
O00255	71563151	7.5229	6.7642
O00255	71563283	4.8539	5.9834
O00255	71563284	8.1675	6.6036
O00255	71563285	7.5528	6.7957
O00255	71716131	6.5072	6.7650
O00255	71716759	7.1487	6.6855
O00255	71717365	5.5452	5.8099
O00255	71719785	4.3788	5.6086
O00255	71719786	7.6198	6.6991
O00255	71719787	7.3665	6.6995
O00255	71777742	7.2366	6.7916
O00255	132090536	7.9586	7.1168
O00255	132104133	6.0177	6.0532
O00255	132104137	7.9208	6.6444
O00255	132104363	8.6990	8.2793
O00255	132104365	8.8539	8.2255
O00255	132104372	7.3468	7.8101
O00255	132104373	7.6778	7.7617
O00255	132104378	8.1549	8.1385
O00255	132104382	8.6198	8.1411
O00255	132104444	5.7696	6.0680
O00255	132104448	6.4559	6.6184
O00255	132104449	5.3098	5.7607
O00255	132104733	6.4425	7.8355
O00255	132104734	6.6840	6.8850
O00255	132104735	8.5686	8.2767
O00255	132104736	8.8539	8.2198
O00255	132104737	8.7696	8.2220
O00255	132104738	8.1549	8.2047
O00255	132523755	7.0969	6.6043
O00255	138618502	5.6716	7.0276
O00255	138618542	8.3372	8.1679
O00255	138618588	7.6576	6.8335
O00255	145397301	8.6990	8.0699
O00255	146512357	8.0706	7.7294
O00255	155526758	8.5686	7.8515
O00255	155529345	5.9586	6.5351
O00255	155536984	5.2147	5.7583
O00255	155553832	5.8861	6.7625
O00255	155558606	7.4949	7.4835
O00311	25166058	7.2495	7.3453
O00311	49830272	9.8000	9.0757
O00311	49830280	9.5000	8.7305
O00311	49843482	9.0458	8.5782
O00311	57392258	9.5528	8.6431
O00311	66887486	8.8539	8.7208
O00311	66888114	8.2596	8.0490
O00311	66888175	7.8861	8.1861
O00311	66888458	7.5686	7.9001
O00311	66888604	8.1135	8.2827
O00311	66888945	7.1739	7.5375
O00311	66888952	8.0605	7.9031
O00311	66900677	7.8239	7.8467
O00311	68737551	6.9586	7.3134
O00311	71527115	8.4949	8.4040
O00311	71527117	8.4685	8.3062
O00311	75297693	8.7825	8.5072
O00311	75297694	7.4559	7.6078
O00311	75297695	8.8239	8.8112
O00311	75297697	8.4685	8.6117
O00311	75297705	9.3979	8.7845
O00311	75297708	7.8861	8.1926
O00311	75297710	6.3251	7.0320
