	PDB	Labels	Predictions
0	4fjk	6.55	4.43
1	2v7u	5.9	4.48
2	2hzl	6.57	3.66
3	2q89	6.3	4.31
4	1ukb	3.19	4.12
5	3c2f	2.0	4.42
6	2gz2	5.22	4.7
7	2v7v	6.66	3.76
8	3bu1	8.15	2.69
9	2qdt	5.19	3.94
10	1toi	4.05	4.22
11	2hzy	7.39	3.26
12	2pwd	4.4	4.87
13	2nsl	4.68	3.96
14	2qrl	4.0	3.77
15	2j4k	4.85	4.05
16	2cjp	3.1	4.46
17	1iup	2.54	4.38
18	2qry	8.64	5.16
19	2ihk	4.16	4.83
20	2nsj	4.79	3.96
21	2e2p	4.74	4.42
22	2pwg	4.82	5.28
23	2b3f	6.03	4.45
24	3brn	8.7	4.2
25	3c2r	3.11	3.3
26	2jgb	5.61	5.28
27	1tog	3.22	4.22
28	2v7t	7.48	4.88
29	2vhw	5.09	3.9
30	2q88	5.8	3.2
31	2vmd	3.02	3.74
32	3c2o	3.35	2.69
33	2ihj	4.59	4.83
34	1e2k	4.94	4.34
35	1u1w	5.85	3.01
36	2bvd	6.0	6.19
37	2aac	2.22	4.02
38	1tok	2.47	3.61
39	1dy4	4.36	2.92
40	1uz4	3.4	3.1
41	1gww	4.28	3.65
42	1x8d	2.21	3.15
43	1ui0	7.06	3.55
44	1lrh	6.82	2.38
45	1nw5	5.21	5.15
46	1v1j	4.82	4.35
47	2qrk	4.26	4.6
48	1h46	3.57	3.2
49	1gx0	4.28	3.65
50	4ubp	5.59	4.76
51	1bcj	3.7	3.41
52	1toj	3.39	4.22
53	1ia1	7.47	5.43
54	1sg0	7.47	3.03
55	1t9b	6.9	6.27
56	1of6	6.05	3.26
57	1t40	7.96	6.68
58	1mmv	7.24	3.33
59	1r55	6.8	6.11
60	1p2y	5.0	4.57
61	1sq5	4.39	3.38
62	1u1c	5.37	4.77
63	1r9o	5.02	5.12
64	1s19	9.51	8.23
65	1of1	4.82	4.73
66	1v4s	6.44	6.63
