PDB	Labels	Predictions
1gm8	SOX	4.80	5.54
1gpk	HUP	5.37	6.83
1hnn	SKF	6.24	7.18
1hp0	AD3	6.70	5.23
1hq2	PH2	6.77	5.09
1hvy	D16	6.17	7.12
1hwi	115	7.55	7.05
1hww	SWA	7.70	4.71
1ia1	TQ3	7.47	5.43
1j3j	CP6	8.01	4.83
1jd0	AZM	8.24	7.26
1jje	BYS	8.43	5.56
1ke5	LS1	6.25	6.68
1kzk	JE2	10.40	7.57
1l2s	STC	4.59	4.34
1l7f	BCZ	9.10	6.97
1lpz	CMB	7.60	7.85
1lrh	NLA	6.82	5.83
1m2z	DEX	7.22	7.37
1mmv	3AR	7.24	5.02
1n1m	A3M	5.70	6.31
1n2v	BDI	4.08	4.12
1n46	PFA	10.52	8.50
1nav	IH5	7.60	5.83
1of1	SCT	4.82	6.10
1of6	DTY	6.05	4.35
1opk	P16	9.82	8.39
1oq5	CEL	7.68	8.19
1owe	675	6.20	5.20
1oyt	FSN	7.24	7.00
1p2y	NCT	5.00	6.32
1p62	GEO	4.66	6.06
1pmn	984	8.15	7.28
1q1g	MTI	8.57	7.56
1q41	IXM	7.66	7.09
1q4g	BFL	6.89	5.81
1r1h	BIR	8.92	7.60
1r55	097	6.80	6.91
1r58	AO5	6.96	7.86
1r9o	FLP	5.02	5.01
1s19	MC9	9.51	8.46
1s3v	TQD	7.42	7.23
1sg0	STL	7.47	5.83
1sj0	E4D	9.10	8.03
1sq5	PAU	4.39	3.75
1sqn	NDR	9.40	8.09
1t40	ID5	7.96	7.10
1t46	STI	6.38	7.60
1t9b	1CS	6.90	4.88
1tow	CRZ	6.24	6.21
1tt1	KAI	7.19	7.74
1u1c	BAU	5.37	6.28
1uml	FR4	7.52	7.65
1unl	RRC	6.70	7.62
1uou	CMU	7.70	6.66
1v0p	PVB	6.89	7.31
1v48	HA1	8.16	7.30
1v4s	MRK	6.44	6.88
1vcj	IBA	4.59	4.36
1w1p	GIO	2.30	3.63
1w2g	THM	4.57	4.67
1xm6	5RM	6.38	5.36
1xoq	ROF	9.17	8.67
1xoz	CIA	8.92	8.30
1y6b	AAX	7.42	8.05
1ygc	905	9.46	6.92
1yqy	915	7.62	5.84
1ywr	LI9	7.49	8.03
1z95	198	7.12	8.50
2bm2	PM2	7.82	6.25
2br1	PFP	5.14	6.28
2bsm	BSM	5.82	7.66
