	PDB	Labels	Predictions
0	4fjk	6.55	5.55
1	2v7u	5.9	6.25
2	2hzl	6.57	3.47
3	2q89	6.3	4.5
4	1ukb	3.19	3.56
5	3c2f	2.0	5.56
6	2gz2	5.22	5.74
7	2v7v	6.66	5.31
8	3bu1	8.15	3.5
9	2qdt	5.19	4.54
10	1toi	4.05	4.4
11	2hzy	7.39	6.85
12	2pwd	4.4	4.25
13	2nsl	4.68	4.78
14	2qrl	4.0	4.53
15	2j4k	4.85	5.29
16	2cjp	3.1	3.65
17	1iup	2.54	3.45
18	2qry	8.64	6.01
19	2ihk	4.16	4.47
20	2nsj	4.79	4.61
21	2e2p	4.74	6.1
22	2pwg	4.82	3.99
23	2b3f	6.03	5.28
24	3brn	8.7	3.42
25	3c2r	3.11	5.02
26	2jgb	5.61	4.96
27	1tog	3.22	4.55
28	2v7t	7.48	6.22
29	2vhw	5.09	5.94
30	2q88	5.8	3.64
31	2vmd	3.02	3.67
32	3c2o	3.35	4.14
33	2ihj	4.59	4.97
34	1e2k	4.94	5.48
35	1u1w	5.85	4.52
36	2bvd	6.0	5.79
37	2aac	2.22	4.19
38	1tok	2.47	4.4
39	1dy4	4.36	6.56
40	1uz4	3.4	4.48
41	1gww	4.28	6.25
42	1x8d	2.21	5.55
43	1ui0	7.06	5.14
44	1lrh	6.82	5.06
45	1nw5	5.21	5.23
46	1v1j	4.82	4.56
47	2qrk	4.26	5.92
48	1h46	3.57	4.96
49	1gx0	4.28	6.26
50	4ubp	5.59	3.79
51	1bcj	3.7	4.56
52	1toj	3.39	3.92
53	1ia1	7.47	4.81
54	1sg0	7.47	5.06
55	1t9b	6.9	6.15
56	1of6	6.05	6.37
57	1t40	7.96	8.24
58	1mmv	7.24	5.4
59	1r55	6.8	6.41
60	1p2y	5.0	5.48
61	1sq5	4.39	5.28
62	1u1c	5.37	5.43
63	1r9o	5.02	6.14
64	1s19	9.51	8.2
65	1of1	4.82	5.77
66	1v4s	6.44	6.04
