PDB	Labels	Predictions
4ypw	4FD	5.50	3.64
4ypx	4FG	4.60	3.21
4ypy	4F9	3.80	3.00
4ypz	4FL	3.50	2.70
4yq0	4FM	4.40	3.72
4yq1	4FN	8.30	6.94
4yq2	EFY	8.30	6.88
4yq3	4G1	6.80	6.87
4yq4	4G3	5.70	3.89
4yq5	4G0	5.40	4.61
4yq6	4FX	6.10	3.73
4yq7	4G4	5.20	4.43
4yq8	4FV	5.10	5.22
4yq9	4GO	6.70	4.22
4yqa	4GN	6.30	4.38
4yqb	4GM	5.90	3.53
4yqc	EFW	6.70	5.34
4yqd	4GZ	5.10	5.72
4yqg	4GY	5.70	4.46
4yqi	4GX	4.80	4.53
4yqj	4GT	6.20	4.92
4yqk	4GS	4.70	3.97
4yql	4H4	4.80	6.79
4yqn	4H3	5.80	5.73
4yqo	4H1	6.30	4.70
4yqp	4H6	5.70	4.11
4yqq	4H7	6.10	4.74
4yqr	4HQ	4.00	3.89
4yqs	4H9	5.60	3.59
4yqt	4H8	6.10	4.25
4yjo	4DF	7.90	7.52
4yjp	4DL	8.46	7.86
4yjq	4DK	7.95	7.54
4yjr	4DJ	7.69	7.37
4yjs	4DN	9.39	7.75
4yjt	4DQ	8.79	7.64
4yju	4DO	7.94	7.28
4yjv	4DT	8.55	7.82
4ykr	4EP	7.53	6.37
4ykq	4EO	7.61	6.21
4ykt	4EQ	8.28	8.30
4ykw	4ES	7.02	6.36
4ykx	4ET	5.56	5.83
4ykz	4EV	5.06	4.87
4yky	4EU	4.30	4.77
4yku	4ER	5.12	5.64
