PDB	Labels	Predictions
1a8i	GLS	5.52	3.84
1a99	PUT	5.70	4.74
1ax0	A2G	3.13	4.03
1b6l	PI4	8.30	7.80
1b6m	PI6	8.40	8.96
1duv	PSQ	11.80	2.89
1dy4	SNP	4.36	3.66
1e2k	TMC	4.94	5.59
1fcx	184	7.12	7.15
1g2k	NM1	7.96	9.28
1gj8	133	6.96	5.79
1gjd	136	5.22	5.89
1gpk	HUP	5.37	6.97
1gyy	FHC	3.64	4.88
1h22	E10	9.10	7.63
1h23	E12	8.35	7.70
1h46	RNP	3.57	3.79
1hnn	SKF	6.24	6.64
1iy7	CXA	6.19	5.25
1kzk	JE2	10.39	9.77
1lrh	NLA	6.82	5.61
1nc1	MTH	6.12	7.06
1nc3	FMC	5.00	7.10
1nli	ADE	3.59	6.53
1nw5	SAM	5.21	5.09
1ow4	2AN	5.68	5.19
1p1n	KAI	6.80	6.07
1p1o	QUS	5.76	5.01
1ps3	KIF	2.28	4.39
1pxp	CK8	6.66	6.98
1r5y	DQU	6.46	5.34
1s38	MAQ	5.15	5.25
1s39	AQO	7.70	4.83
1sr7	MOF	10.10	8.96
1sw1	PBE	7.30	5.89
1syh	CPW	6.41	5.38
1syi	CPW	5.48	5.38
1toj	HCI	3.39	2.61
1tok	MAE	2.47	2.94
1u1w	3HA	5.85	5.16
1ua4	AMP	4.22	4.77
1ui0	URA	7.06	3.57
1utm	PEA	3.01	3.03
1uwu	GOX	5.98	4.63
1uz1	IFL	6.89	5.14
1uz4	IFL	3.40	5.39
1v1j	FA3	4.82	4.39
1w2g	THM	4.57	4.06
1x8d	RNS	2.21	3.96
1xge	DOR	4.68	4.16
1y1m	AC5	1.82	4.19
1y1z	192	3.08	4.62
1y20	1AC	5.32	3.83
1yc1	4BC	6.17	7.53
1ydk	GTX	5.89	2.70
1z95	198	7.12	8.24
2aac	FCB	2.22	2.55
2afx	1BN	5.15	5.32
2ayr	L4G	9.29	9.17
2azr	982	3.64	4.84
2b07	598	6.43	6.44
2boh	IIA	8.52	9.08
2boj	ARW	5.77	6.19
2brb	PFQ	4.86	4.90
2bvd	ISX	6.00	5.91
2byr	MLK	8.55	7.99
2cji	GSK	8.22	8.50
2fai	459	6.24	7.76
2fdp	FRP	7.59	6.50
2ff1	IMH	8.21	6.49
2fpz	270	3.96	3.81
2fqt	H1D	6.14	6.41
2fqw	NOS	6.68	5.79
2fqx	GMP	7.15	5.90
2fqy	ADN	6.57	5.51
2fvd	LIA	8.52	7.21
2fw6	CIT	2.92	2.79
2fxu	BID	8.15	6.79
2h6b	3C4	5.39	5.76
2hb1	512	3.80	5.14
2hdq	C21	1.40	3.08
2hdr	4A3	1.72	2.97
2i0a	MUI	11.40	10.49
2i0d	MUT	12.10	10.48
2il2	LIX	7.10	7.85
2iwx	M1S	6.68	6.60
2j2u	GSQ	7.05	8.47
2j34	GS6	7.82	8.25
2j4i	GSJ	9.00	9.04
2j78	GOX	6.42	5.20
1bcj	NGA	3.70	4.03
1bky	1MC	3.84	4.49
1d4i	BEG	8.85	8.56
1d4j	MSC	8.36	8.33
1eby	BEB	9.70	8.69
1ebz	BEC	9.40	8.71
1ec0	BED	8.49	8.11
1ec1	BEE	8.92	7.28
1ec2	BEJ	10.00	7.38
1enu	APZ	5.08	4.77
1f74	NAY	3.05	5.10
1gi9	123	5.96	5.37
1gww	UDP	4.28	4.84
1gx0	UDP	4.28	4.84
1o5a	696	6.42	6.77
1o5r	FR9	8.12	7.64
1q4w	DQU	6.46	5.34
1qkt	EST	9.04	8.62
1qxl	FR8	7.96	7.58
1rdi	MFU	2.06	2.44
1rdn	NDG	1.84	4.03
1tr7	DEG	6.82	7.09
2a3c	PNX	4.37	3.78
2fv5	541	10.52	8.75
2h21	SAM	6.54	5.27
2hd6	BOS	7.80	7.97
1xl5	190	7.35	8.95
1y93	HAE	2.10	2.90
4ubp	HAE	5.59	3.03
1lhw	ESM	8.16	6.75
1s9t	QUS	6.60	5.54
1tt1	KAI	7.19	7.55
1uzv	FUC	5.18	6.57
2dm5	ODI	2.99	5.95
1xw6	GSH	5.62	4.58
2qrk	AMP	4.26	3.93
2nn1	M28	5.82	6.13
2pou	I7A	7.42	7.89
3cd0	6HI	7.57	7.83
3cda	8HI	7.58	8.35
