	PDB	Labels	Predictions
0	4fjk	6.55	4.7
1	2v7u	5.9	5.11
2	2hzl	6.57	4.89
3	2q89	6.3	6.28
4	1ukb	3.19	3.8
5	3c2f	2.0	4.44
6	2gz2	5.22	4.75
7	2v7v	6.66	4.84
8	3bu1	8.15	5.01
9	2qdt	5.19	4.95
10	1toi	4.05	4.26
11	2hzy	7.39	6.13
12	2pwd	4.4	4.67
13	2nsl	4.68	4.72
14	2qrl	4.0	3.27
15	2j4k	4.85	4.48
16	2cjp	3.1	4.18
17	1iup	2.54	3.62
18	2qry	8.64	5.76
19	2ihk	4.16	4.69
20	2nsj	4.79	4.72
21	2e2p	4.74	3.65
22	2pwg	4.82	4.64
23	2b3f	6.03	4.42
24	3brn	8.7	5.02
25	3c2r	3.11	3.79
26	2jgb	5.61	7.67
27	1tog	3.22	4.26
28	2v7t	7.48	5.43
29	2vhw	5.09	4.74
30	2q88	5.8	5.94
31	2vmd	3.02	2.96
32	3c2o	3.35	4.27
33	2ihj	4.59	4.69
34	1e2k	4.94	5.02
35	1u1w	5.85	5.02
36	2bvd	6.0	4.65
37	2aac	2.22	2.7
38	1tok	2.47	3.84
39	1dy4	4.36	5.72
40	1uz4	3.4	4.26
41	1gww	4.28	3.75
42	1x8d	2.21	4.23
43	1ui0	7.06	4.65
44	1lrh	6.82	5.88
45	1nw5	5.21	4.42
46	1v1j	4.82	3.84
47	2qrk	4.26	4.7
48	1h46	3.57	5.0
49	1gx0	4.28	3.75
50	4ubp	5.59	4.39
51	1bcj	3.7	3.45
52	1toj	3.39	4.26
53	1ia1	7.47	5.78
54	1sg0	7.47	5.76
55	1t9b	6.9	6.34
56	1of6	6.05	5.47
57	1t40	7.96	7.09
58	1mmv	7.24	5.13
59	1r55	6.8	6.46
60	1p2y	5.0	4.51
61	1sq5	4.39	4.05
62	1u1c	5.37	4.5
63	1r9o	5.02	5.49
64	1s19	9.51	7.9
65	1of1	4.82	5.73
66	1v4s	6.44	6.88
