UniProtIDs	PubChemCIDs	Labels	Predictions
A0A087WW23	77050673	8.8861	8.4277
A0A087WW23	85470875	8.9586	8.9413
A0A087WW23	86267448	7.3979	7.3821
A0A087WW23	86267449	6.3665	6.7808
A0A087WW23	86267659	5.6498	6.3880
A0A087WW23	86267868	6.3979	6.9422
A0A087WW23	86268087	8.9586	8.7499
A0A087WW23	86268088	6.7959	7.1530
A0A087WW23	86268284	6.0809	7.5225
A0A087WW23	86268285	8.8539	8.4142
A0A087WW23	86268287	8.0706	7.8433
A0A087WW23	86268288	7.8539	7.5197
A0A087WW23	86268289	7.8239	7.5560
A0A087WW23	86268290	7.6198	7.5900
A0A087WW23	86268479	5.6990	7.7959
A0A087WW23	86268480	9.1308	8.2486
A0A087WW23	86268483	7.3098	7.1860
A0A087WW23	86268485	9.3279	9.0527
A0A087WW23	86268486	8.6021	8.7889
A0A087WW23	86268487	9.1805	9.1870
A0A087WW23	86268683	7.6198	7.6664
A0A087WW23	86268684	7.7447	7.6820
A0A087WW23	86268685	7.9586	7.7014
A0A087WW23	86268687	7.9208	8.0255
A0A087WW23	86268893	8.3665	8.2299
A0A087WW23	86268894	8.5302	8.2856
A0A087WW23	86268896	7.0969	7.5971
A0A087WW23	86268897	8.1308	7.9455
A0A087WW23	86268898	7.8861	7.8794
A0A087WW23	86269094	8.2518	8.2881
A0A087WW23	86269095	6.4815	7.7087
A0A087WW23	86269298	8.3872	8.7276
A0A087WW23	86269300	6.0269	6.8627
A0A087WW23	86269301	8.1367	8.4517
A0A087WW23	86269501	8.5229	8.4545
A0A087WW23	86269505	7.3468	7.6508
A0A087WW23	86269907	7.0706	7.3590
A0A087WW23	86270093	7.6198	7.9216
A0A087WW23	86270280	8.2291	8.2848
A0A087WW23	86270475	6.6021	7.3286
A0A087WW23	90410072	8.1805	8.4237
A0A087WW23	90410121	7.5229	7.8346
A0A087WW23	90410124	8.0132	8.4416
A0A087WW23	90410143	9.0177	8.0429
A0A087WW23	90410148	8.6576	8.4184
A0A087WW23	90410151	7.0000	7.4516
A0A087WW23	90410156	8.6576	8.1491
A0A087WW23	90410157	6.4318	7.8800
A0A087WW23	90410179	7.7447	8.1634
A0A087WW23	90410205	7.2366	7.7887
A0A087WW23	90410206	6.6778	7.2967
A0A087WW23	90410228	5.7258	6.4991
A0A087WW23	90410254	8.0915	8.0262
A0A087WW23	90410288	8.8539	8.6652
A0A087WW23	90410291	5.8239	6.3091
A0A087WW23	90410293	8.5229	8.1593
A0A087WW23	90410294	6.5686	7.6045
A0A087WW23	90410390	8.0969	8.4175
A0A087WW23	90410395	8.8861	8.9387
A0A087WW23	90410417	8.9586	9.1896
A0A087WW23	90410429	9.2147	9.3047
A0A087WW23	90410450	7.9208	8.1830
A0A087WW23	90410467	7.6021	7.9205
A0A087WW23	90410481	8.1549	8.2622
A0A087WW23	90410491	8.4202	8.3071
A0A087WW23	90410515	8.3768	8.5449
A0A087WW23	90410519	8.2218	8.0043
A0A087WW23	90410523	6.2076	7.0446
A0A087WW23	90410531	6.1249	8.2652
A0A087WW23	90410588	9.0757	9.1964
A0A087WW23	90410611	8.1805	8.2577
A0A087WW23	90410619	8.9586	8.7094
A0A087WW23	90410664	7.7447	7.9435
A0A087WW23	90410684	8.5376	7.9685
A0A087WW23	90410696	8.0000	7.7674
A0A087WW23	90410731	7.8861	8.2876
A0A087WW23	90410789	6.8239	6.8766
A0A087WW23	90410869	7.9208	8.4407
A0A087WW23	90410873	7.2840	7.5985
A0A087WW23	90410884	7.7212	8.1468
A0A087WW23	90410891	7.4949	7.4532
A0A087WW23	90410896	8.6198	8.5012
A0A087WW23	90410926	7.5229	8.1470
A0A087WW23	90410998	8.0458	8.2459
