	PDB	Labels	Predictions
0	2v7u	5.9	5.73
1	2hzl	6.57	4.64
2	2q89	6.3	4.73
3	1ukb	3.19	4.64
4	3c2f	2.0	4.34
5	2gz2	5.22	4.48
6	2v7v	6.66	4.12
7	3bu1	8.15	4.99
8	2qdt	5.19	5.39
9	1toi	4.05	4.35
10	2hzy	7.39	6.37
11	2pwd	4.4	5.08
12	2nsl	4.68	4.49
13	2qrl	4.0	3.64
14	2j4k	4.85	4.03
15	2cjp	3.1	4.38
16	1iup	2.54	3.81
17	2qry	8.64	6.49
18	2ihk	4.16	5.69
19	2nsj	4.79	4.58
20	2e2p	4.74	4.99
21	2pwg	4.82	5.64
22	2b3f	6.03	4.0
23	3brn	8.7	4.56
24	3c2r	3.11	3.68
25	2jgb	5.61	5.75
26	1tog	3.22	4.41
27	2v7t	7.48	6.24
28	2vhw	5.09	6.57
29	2q88	5.8	4.57
30	2vmd	3.02	3.52
31	3c2o	3.35	3.57
32	2ihj	4.59	5.58
33	1e2k	4.94	7.31
34	1u1w	5.85	4.79
35	2bvd	6.0	5.79
36	2aac	2.22	3.8
37	1tok	2.47	4.74
38	1dy4	4.36	6.25
39	1uz4	3.4	5.01
40	1gww	4.28	4.63
41	1x8d	2.21	3.77
42	1ui0	7.06	3.92
43	1lrh	6.82	4.36
44	1nw5	5.21	5.42
45	1v1j	4.82	5.3
46	2qrk	4.26	4.66
47	1h46	3.57	5.65
48	1gx0	4.28	4.64
49	4ubp	5.59	5.33
50	1bcj	3.7	3.73
51	1toj	3.39	4.41
52	1ia1	7.47	6.53
53	1sg0	7.47	4.78
54	1t9b	6.9	5.95
55	1of6	6.05	5.26
56	1t40	7.96	6.66
57	1mmv	7.24	4.95
58	1r55	6.8	6.37
59	1p2y	5.0	5.12
60	1sq5	4.39	4.53
61	1u1c	5.37	5.01
62	1r9o	5.02	5.27
63	1s19	9.51	7.76
64	1of1	4.82	7.36
65	1v4s	6.44	7.11
