Compound ID,Targets,PDB ID,Ligand code,SMILES,Measurement,Potency,Unit,Convert Potency
uPa_15,Urokinase,4FUD,6UP,NC(=N)c1ccc2cccc(N)c2c1,Ki,450,nM,6.35
uPa_18,Urokinase,4FUE,7UP,NC(=N)c1ccc2cc(ccc2c1)C#Cc3ccc4CNCCc4c3,Ki,58.8,nM,7.23
uPa_4,Urokinase,4FU7,1UP,COc1ccc2ccc(cc2c1OCC(=O)N)C(=N)N,Ki,637,nM,6.20
uPa_6,Urokinase,4FU8,2UP,NC(=N)c1ccc2ccccc2c1,Ki,5910,nM,5.23
uPa_7,Urokinase,4FU9,675,NC(=N)c1ccc2cc(ccc2c1)C(=O)Nc3ccccc3,Ki,628,nM,6.20
uPa_8,Urokinase,4FUB,4UP,NC(=N)c1ccc2cc(ccc2c1)C3OC3c4ccccc4,Ki,610,nM,6.21
uPa_9,Urokinase,4FUC,239,NCc1ccc(NC(=O)c2ccc3cc(ccc3c2)C(=N)N)cc1,Ki,40,nM,7.40
Chk1_4,CHK1 Kinase,4FSM,HK1,COc1c(OC)cc2c(Cc3c2n[nH]c3c4ccc(O)cc4)c1,IC50,23.9,nM,7.62
Chk1_8,CHK1 Kinase,4FSW,HK6,Clc1ccc2Nc3ccccc3C(=O)Nc2c1,IC50,17200,nM,4.76
Chk1_19,CHK1 Kinase,4FT5,H2K,Clc1ccc(OC2CCNC2)c(NC(=O)Nc3cnc(cn3)C#N)c1,IC50,27.4,nM,7.56
Chk1_20,CHK1 Kinase,4FSN,A58,CC1CCC(NCc2cc(Cc3c4n[nH]c3c5ccc(C(O)=O)cc5)c4cc2)CC1,IC50,19.9,nM,7.70
Chk1_33,CHK1 Kinase,4FSZ,HK8,OC(=O)Cc1ccc2Nc3cc(Cl)ccc3C(=O)Nc2c1,IC50,106,nM,6.97
Chk1_40,CHK1 Kinase,4FT7,H3K,OC1CCCN(C1)c2ccc(Br)cc2NC(=O)Nc3cnc(cn3)C#N,IC50,1.36,nM,8.87
Chk1_70,CHK1 Kinase,4FT0,HK9,COc1cc(ccc1C(=O)O)c2ccc3C(=O)Nc4ccccc4Nc3c2,IC50,76.8,nM,7.11
Chk1_72,CHK1 Kinase,4FT9,H4K,O=C(Nc1cnc(cn1)C#N)Nc2cc3ccccc3cn2,IC50,20.6,nM,7.69
Chk1_89,CHK1 Kinase,4FTA,H5K,OC(=O)c1ccc2cc(NC(=O)Nc3cnc(cn3)C#N)ccc2c1,IC50,40.4,nM,7.39
Chk1_90,CHK1 Kinase,4FTC,H6K,O=C(Nc1cnc(cn1)C#N)Nc2cc([nH]n2)c3ccccc3,IC50,23.2,nM,7.63
Chk1_115,CHK1 Kinase,4FSQ,HK3,COc1c(OC)cc2c(Cc3c2n[nH]c3c4ccc(c5ccc(O)cc5)cc4)c1,IC50,1.6,nM,8.80
Chk1_123,CHK1 Kinase,4FSR,HKC,COc1c(OC)cc2c(Cc3c2n[nH]c3c4ccc(c5n[nH]nn5)cc4)c1,IC50,11.5,nM,7.94
Chk1_146,CHK1 Kinase,4FST,HK4,COc1c(O)ccc(C#Cc2c(Cc3c4cc(OC)c(OC)c3)c4n[nH]2)c1,IC50,5.22,nM,8.28
CS252,LpxC,4FW3,L52,N(C(=O)c1ccc(cc1)C#CC#Cc1ccccc1)[C@H](C(=O)NO)CN,Kd,58.6,nM,7.23
CS257,LpxC,4FW4,3P3,N(C(=O)c1ccc(cc1)C#CC#Cc1ccccc1)[C@H](C(=O)NO)[C@@H](C)O,Kd,8.35,nM,8.08
CS258,LpxC,4FW5,L58,N(C(=O)c1ccc(cc1)c1ccc(cc1)Br)[C@H](C(=O)NO)[C@@H](C)O,Kd,33.2,nM,7.48
CS259,LpxC,4FW6,L59,N(C(=O)c1ccc(cc1)C#Cc1ccccc1)[C@H](C(=O)NO)[C@@H](C)O,Kd,20.1,nM,7.70
CS263,LpxC,4FW7,L63,N(C(=O)c1ccc(cc1)c1ccccc1)[C@H](C(=O)NO)[C@@H](C)O,Kd,74.5,nM,7.13
erk000075,ERK2,4FUX,E75,o1nc(c(-c2nc(ncc2)NC2CCC(O)CC2)c1C)-c1ccccc1,Ki,1000,nM,6.00
erk000124,ERK2,4FUY,EK2,Clc1cc(cc(Cl)c1)-c1cn[nH]c1-c1cc([nH]c1)C(=O)N1CCOCC1,Ki,812.8,nM,6.09
erk000125,ERK2,4FV0,EK3,Fc1ccc(cc1)-c1n[nH]cc1-c1cc(ncc1)NC1CCCCC1,Ki,2570.4,nM,5.59
