	PDB	Labels	Predictions
0	4fjk	6.55	5.67
1	2v7u	5.9	7.99
2	2hzl	6.57	4.49
3	2q89	6.3	5.56
4	1ukb	3.19	3.16
5	3c2f	2.0	2.15
6	2gz2	5.22	2.86
7	2v7v	6.66	5.99
8	3bu1	8.15	3.22
9	2qdt	5.19	2.04
10	1toi	4.05	4.06
11	2hzy	7.39	6.55
12	2pwd	4.4	5.32
13	2nsl	4.68	3.42
14	2qrl	4.0	2.86
15	2j4k	4.85	4.33
16	2cjp	3.1	6.26
17	1iup	2.54	2.47
18	2qry	8.64	6.96
19	2ihk	4.16	5.59
20	2nsj	4.79	3.83
21	2e2p	4.74	4.21
22	2pwg	4.82	5.8
23	2b3f	6.03	5.15
24	3brn	8.7	5.18
25	3c2r	3.11	5.98
26	2jgb	5.61	5.94
27	1tog	3.22	4.17
28	2v7t	7.48	6.99
29	2vhw	5.09	6.9
30	2q88	5.8	5.77
31	2vmd	3.02	1.6
32	3c2o	3.35	4.67
33	2ihj	4.59	5.46
34	1e2k	4.94	5.28
35	1u1w	5.85	3.25
36	2bvd	6.0	5.78
37	2aac	2.22	5.17
38	1tok	2.47	4.78
39	1dy4	4.36	6.55
40	1uz4	3.4	4.39
41	1gww	4.28	4.69
42	1x8d	2.21	2.38
43	1ui0	7.06	2.41
44	1lrh	6.82	4.54
45	1nw5	5.21	5.11
46	1v1j	4.82	4.2
47	2qrk	4.26	3.31
48	1h46	3.57	5.09
49	1gx0	4.28	4.69
50	4ubp	5.59	1.94
51	1bcj	3.7	2.15
52	1toj	3.39	3.97
53	1ia1	7.47	4.91
54	1sg0	7.47	3.98
55	1t9b	6.9	6.72
56	1of6	6.05	4.88
57	1t40	7.96	6.86
58	1mmv	7.24	3.61
59	1r55	6.8	6.46
60	1p2y	5.0	2.4
61	1sq5	4.39	3.44
62	1u1c	5.37	5.25
63	1r9o	5.02	3.95
64	1s19	9.51	6.69
65	1of1	4.82	4.4
66	1v4s	6.44	5.05
