	PDB	Labels	Predictions
0	4fjk	6.55	5.28
1	2v7u	5.9	6.41
2	2hzl	6.57	3.9
3	2q89	6.3	5.46
4	1ukb	3.19	4.39
5	3c2f	2.0	5.94
6	2gz2	5.22	5.63
7	2v7v	6.66	6.09
8	3bu1	8.15	4.19
9	2qdt	5.19	4.24
10	1toi	4.05	4.16
11	2hzy	7.39	6.11
12	2pwd	4.4	5.07
13	2nsl	4.68	5.86
14	2qrl	4.0	4.15
15	2j4k	4.85	5.48
16	2cjp	3.1	4.13
17	1iup	2.54	4.41
18	2qry	8.64	6.45
19	2ihk	4.16	5.64
20	2nsj	4.79	5.97
21	2e2p	4.74	5.14
22	2pwg	4.82	5.38
23	2b3f	6.03	4.99
24	3brn	8.7	5.54
25	3c2r	3.11	4.32
26	2jgb	5.61	5.01
27	1tog	3.22	4.24
28	2v7t	7.48	6.22
29	2vhw	5.09	5.39
30	2q88	5.8	5.25
31	2vmd	3.02	3.43
32	3c2o	3.35	4.83
33	2ihj	4.59	6.01
34	1e2k	4.94	6.44
35	1u1w	5.85	5.1
36	2bvd	6.0	5.69
37	2aac	2.22	4.45
38	1tok	2.47	3.89
39	1dy4	4.36	6.11
40	1uz4	3.4	5.08
41	1gww	4.28	5.02
42	1x8d	2.21	4.28
43	1ui0	7.06	4.69
44	1lrh	6.82	5.0
45	1nw5	5.21	6.06
46	1v1j	4.82	4.59
47	2qrk	4.26	4.77
48	1h46	3.57	5.7
49	1gx0	4.28	5.01
50	4ubp	5.59	5.02
51	1bcj	3.7	4.02
52	1toj	3.39	4.12
53	1ia1	7.47	6.06
54	1sg0	7.47	5.26
55	1t9b	6.9	6.17
56	1of6	6.05	5.07
57	1t40	7.96	6.68
58	1mmv	7.24	4.72
59	1r55	6.8	5.25
60	1p2y	5.0	4.25
61	1sq5	4.39	4.61
62	1u1c	5.37	6.43
63	1r9o	5.02	5.39
64	1s19	9.51	7.86
65	1of1	4.82	6.34
66	1v4s	6.44	6.91
