	PDB	Labels	Predictions
0	4fjk	6.55	4.84
1	2v7u	5.9	5.41
2	2hzl	6.57	6.26
3	2q89	6.3	6.12
4	1ukb	3.19	4.07
5	3c2f	2.0	6.2
6	2gz2	5.22	5.4
7	2v7v	6.66	6.34
8	3bu1	8.15	3.46
9	2qdt	5.19	5.32
10	1toi	4.05	3.44
11	2hzy	7.39	4.64
12	2pwd	4.4	5.1
13	2nsl	4.68	3.64
14	2qrl	4.0	4.45
15	2j4k	4.85	5.93
16	2cjp	3.1	4.66
17	1iup	2.54	3.59
18	2qry	8.64	5.96
19	2ihk	4.16	5.17
20	2nsj	4.79	3.64
21	2e2p	4.74	5.2
22	2pwg	4.82	5.2
23	2b3f	6.03	6.9
24	3brn	8.7	3.17
25	3c2r	3.11	5.72
26	2jgb	5.61	6.03
27	1tog	3.22	3.44
28	2v7t	7.48	6.37
29	2vhw	5.09	5.53
30	2q88	5.8	6.22
31	2vmd	3.02	2.94
32	3c2o	3.35	5.6
33	2ihj	4.59	5.17
34	1e2k	4.94	4.92
35	1u1w	5.85	4.7
36	2bvd	6.0	5.61
37	2aac	2.22	3.88
38	1tok	2.47	3.41
39	1dy4	4.36	5.04
40	1uz4	3.4	4.34
41	1gww	4.28	4.59
42	1x8d	2.21	5.55
43	1ui0	7.06	5.29
44	1lrh	6.82	3.56
45	1nw5	5.21	4.37
46	1v1j	4.82	5.27
47	2qrk	4.26	5.06
48	1h46	3.57	4.46
49	1gx0	4.28	4.59
50	4ubp	5.59	2.82
51	1bcj	3.7	2.65
52	1toj	3.39	3.21
53	1ia1	7.47	6.82
54	1sg0	7.47	5.38
55	1t9b	6.9	4.33
56	1of6	6.05	3.78
57	1t40	7.96	7.47
58	1mmv	7.24	4.68
59	1r55	6.8	7.65
60	1p2y	5.0	5.13
61	1sq5	4.39	6.98
62	1u1c	5.37	5.64
63	1r9o	5.02	5.45
64	1s19	9.51	7.1
65	1of1	4.82	4.53
66	1v4s	6.44	6.56
