PDB	Labels	Predictions
1a8i	GLS	5.52	4.84
1a99	PUT	5.70	4.72
1ax0	A2G	3.13	6.46
1b6l	PI4	8.30	8.67
1b6m	PI6	8.40	8.13
1duv	PSQ	11.80	5.07
1dy4	SNP	4.36	4.52
1e2k	TMC	4.94	6.22
1fcx	184	7.12	7.34
1g2k	NM1	7.96	8.34
1gj8	133	6.96	6.31
1gjd	136	5.22	6.87
1gpk	HUP	5.37	7.33
1gyy	FHC	3.64	5.09
1h22	E10	9.10	7.61
1h23	E12	8.35	7.76
1h46	RNP	3.57	4.82
1hnn	SKF	6.24	6.68
1iy7	CXA	6.19	7.86
1kzk	JE2	10.39	8.34
1lrh	NLA	6.82	4.79
1nc1	MTH	6.12	10.15
1nc3	FMC	5.00	8.49
1nli	ADE	3.59	5.99
1nw5	SAM	5.21	5.57
1ow4	2AN	5.68	6.01
1p1n	KAI	6.80	5.28
1p1o	QUS	5.76	5.71
1ps3	KIF	2.28	5.07
1pxp	CK8	6.66	6.70
1r5y	DQU	6.46	4.31
1s38	MAQ	5.15	4.26
1s39	AQO	7.70	4.07
1sr7	MOF	10.10	7.62
1sw1	PBE	7.30	4.85
1syh	CPW	6.41	5.59
1syi	CPW	5.48	5.59
1toj	HCI	3.39	4.35
1tok	MAE	2.47	4.04
1u1w	3HA	5.85	5.06
1ua4	AMP	4.22	4.95
1ui0	URA	7.06	4.28
1utm	PEA	3.01	2.88
1uwu	GOX	5.98	6.21
1uz1	IFL	6.89	6.35
1uz4	IFL	3.40	5.91
1v1j	FA3	4.82	4.48
1w2g	THM	4.57	4.16
1x8d	RNS	2.21	3.98
1xge	DOR	4.68	4.37
1y1m	AC5	1.82	4.55
1y1z	192	3.08	5.44
1y20	1AC	5.32	5.41
1yc1	4BC	6.17	7.57
1ydk	GTX	5.89	2.83
1z95	198	7.12	7.85
2aac	FCB	2.22	4.73
2afx	1BN	5.15	5.49
2ayr	L4G	9.29	8.25
2azr	982	3.64	5.47
2b07	598	6.43	6.90
2boh	IIA	8.52	10.27
2boj	ARW	5.77	5.07
2brb	PFQ	4.86	5.36
2bvd	ISX	6.00	4.96
2byr	MLK	8.55	7.84
2cji	GSK	8.22	7.60
2fai	459	6.24	7.23
2fdp	FRP	7.59	7.28
2ff1	IMH	8.21	7.30
2fpz	270	3.96	4.28
2fqt	H1D	6.14	6.17
2fqw	NOS	6.68	5.39
2fqx	GMP	7.15	6.02
2fqy	ADN	6.57	5.24
2fvd	LIA	8.52	6.49
2fw6	CIT	2.92	2.54
2fxu	BID	8.15	7.60
2h6b	3C4	5.39	5.78
2hb1	512	3.80	5.70
2hdq	C21	1.40	2.47
2hdr	4A3	1.72	2.74
2i0a	MUI	11.40	10.62
2i0d	MUT	12.10	10.59
2il2	LIX	7.10	7.90
2iwx	M1S	6.68	6.61
2j2u	GSQ	7.05	7.37
2j34	GS6	7.82	7.57
2j4i	GSJ	9.00	8.44
2j78	GOX	6.42	6.32
1bcj	NGA	3.70	4.30
1bky	1MC	3.84	3.46
1d4i	BEG	8.85	8.59
1d4j	MSC	8.36	8.05
1eby	BEB	9.70	8.03
1ebz	BEC	9.40	7.12
1ec0	BED	8.49	8.57
1ec1	BEE	8.92	7.06
1ec2	BEJ	10.00	7.37
1enu	APZ	5.08	5.31
1f74	NAY	3.05	5.42
1gi9	123	5.96	6.05
1gww	UDP	4.28	4.28
1gx0	UDP	4.28	4.28
1o5a	696	6.42	6.14
1o5r	FR9	8.12	7.46
1q4w	DQU	6.46	4.31
1qkt	EST	9.04	9.12
1qxl	FR8	7.96	7.63
1rdi	MFU	2.06	2.51
1rdn	NDG	1.84	3.99
1tr7	DEG	6.82	7.32
2a3c	PNX	4.37	4.80
2fv5	541	10.52	9.08
2h21	SAM	6.54	5.59
2hd6	BOS	7.80	7.56
1xl5	190	7.35	9.23
1y93	HAE	2.10	4.36
4ubp	HAE	5.59	4.99
1lhw	ESM	8.16	6.91
1s9t	QUS	6.60	5.98
1tt1	KAI	7.19	7.56
1uzv	FUC	5.18	4.67
2dm5	ODI	2.99	6.17
1xw6	GSH	5.62	4.42
2qrk	AMP	4.26	3.92
2nn1	M28	5.82	6.57
2pou	I7A	7.42	8.22
3cd0	6HI	7.57	7.86
3cda	8HI	7.58	7.84
