	PDB	Labels	Predictions
0	4fjk	6.55	5.92
1	2v7u	5.9	5.89
2	2hzl	6.57	3.92
3	2q89	6.3	4.07
4	1ukb	3.19	3.81
5	3c2f	2.0	5.69
6	2gz2	5.22	5.02
7	2v7v	6.66	5.14
8	3bu1	8.15	2.28
9	2qdt	5.19	4.22
10	1toi	4.05	3.91
11	2hzy	7.39	4.41
12	2pwd	4.4	4.2
13	2nsl	4.68	3.9
14	2qrl	4.0	4.88
15	2j4k	4.85	4.78
16	2cjp	3.1	4.47
17	1iup	2.54	3.27
18	2qry	8.64	5.54
19	2ihk	4.16	5.97
20	2nsj	4.79	3.9
21	2e2p	4.74	5.55
22	2pwg	4.82	4.82
23	2b3f	6.03	4.21
24	3brn	8.7	4.0
25	3c2r	3.11	5.06
26	2jgb	5.61	6.59
27	1tog	3.22	3.91
28	2v7t	7.48	6.15
29	2vhw	5.09	5.06
30	2q88	5.8	3.87
31	2vmd	3.02	3.46
32	3c2o	3.35	4.95
33	2ihj	4.59	5.97
34	1e2k	4.94	4.98
35	1u1w	5.85	4.41
36	2bvd	6.0	5.14
37	2aac	2.22	4.11
38	1tok	2.47	4.21
39	1dy4	4.36	5.75
40	1uz4	3.4	4.95
41	1gww	4.28	4.75
42	1x8d	2.21	3.26
43	1ui0	7.06	3.34
44	1lrh	6.82	5.3
45	1nw5	5.21	4.97
46	1v1j	4.82	4.32
47	2qrk	4.26	5.37
48	1h46	3.57	5.33
49	1gx0	4.28	4.75
50	4ubp	5.59	3.98
51	1bcj	3.7	4.02
52	1toj	3.39	3.91
53	1ia1	7.47	4.78
54	1sg0	7.47	4.01
55	1t9b	6.9	6.46
56	1of6	6.05	4.14
57	1t40	7.96	7.69
58	1mmv	7.24	4.91
59	1r55	6.8	5.87
60	1p2y	5.0	4.46
61	1sq5	4.39	5.19
62	1u1c	5.37	5.18
63	1r9o	5.02	5.3
64	1s19	9.51	7.22
65	1of1	4.82	3.93
66	1v4s	6.44	6.74
