	PDB	Labels	Predictions
0	4fjk	6.55	6.34
1	2v7u	5.9	6.47
2	2hzl	6.57	5.01
3	2q89	6.3	5.61
4	1ukb	3.19	4.43
5	3c2f	2.0	5.14
6	2gz2	5.22	4.94
7	2v7v	6.66	5.64
8	3bu1	8.15	4.77
9	2qdt	5.19	5.27
10	1toi	4.05	4.58
11	2hzy	7.39	5.89
12	2pwd	4.4	5.7
13	2nsl	4.68	5.42
14	2qrl	4.0	4.65
15	2j4k	4.85	6.01
16	2cjp	3.1	5.85
17	1iup	2.54	4.1
18	2qry	8.64	6.82
19	2ihk	4.16	5.55
20	2nsj	4.79	5.2
21	2e2p	4.74	4.97
22	2pwg	4.82	6.1
23	2b3f	6.03	5.52
24	3brn	8.7	5.26
25	3c2r	3.11	4.88
26	2jgb	5.61	5.14
27	1tog	3.22	4.55
28	2v7t	7.48	6.54
29	2vhw	5.09	5.76
30	2q88	5.8	5.23
31	2vmd	3.02	4.06
32	3c2o	3.35	4.99
33	2ihj	4.59	6.25
34	1e2k	4.94	6.81
35	1u1w	5.85	4.5
36	2bvd	6.0	6.02
37	2aac	2.22	4.38
38	1tok	2.47	4.12
39	1dy4	4.36	6.47
40	1uz4	3.4	5.68
41	1gww	4.28	4.95
42	1x8d	2.21	4.63
43	1ui0	7.06	4.02
44	1lrh	6.82	5.68
45	1nw5	5.21	6.09
46	1v1j	4.82	5.58
47	2qrk	4.26	5.7
48	1h46	3.57	6.26
49	1gx0	4.28	5.54
50	4ubp	5.59	4.69
51	1bcj	3.7	4.19
52	1toj	3.39	4.65
53	1ia1	7.47	6.78
54	1sg0	7.47	5.38
55	1t9b	6.9	6.29
56	1of6	6.05	5.62
57	1t40	7.96	6.62
58	1mmv	7.24	5.69
59	1r55	6.8	5.92
60	1p2y	5.0	5.19
61	1sq5	4.39	5.58
62	1u1c	5.37	6.73
63	1r9o	5.02	6.34
64	1s19	9.51	7.99
65	1of1	4.82	6.31
66	1v4s	6.44	6.31
