	PDB	Labels	Predictions
0	4fjk	6.55	4.87
1	2v7u	5.9	5.36
2	2hzl	6.57	4.39
3	2q89	6.3	4.89
4	1ukb	3.19	4.82
5	3c2f	2.0	4.6
6	2gz2	5.22	5.21
7	2v7v	6.66	4.97
8	3bu1	8.15	4.94
9	2qdt	5.19	4.42
10	1toi	4.05	3.6
11	2hzy	7.39	5.78
12	2pwd	4.4	4.47
13	2nsl	4.68	4.53
14	2qrl	4.0	3.79
15	2j4k	4.85	4.32
16	2cjp	3.1	5.34
17	1iup	2.54	3.91
18	2qry	8.64	5.53
19	2ihk	4.16	5.39
20	2nsj	4.79	4.88
21	2e2p	4.74	5.3
22	2pwg	4.82	4.89
23	2b3f	6.03	4.25
24	3brn	8.7	4.52
25	3c2r	3.11	4.56
26	2jgb	5.61	5.6
27	1tog	3.22	3.62
28	2v7t	7.48	5.09
29	2vhw	5.09	5.71
30	2q88	5.8	4.73
31	2vmd	3.02	3.61
32	3c2o	3.35	4.48
33	2ihj	4.59	5.83
34	1e2k	4.94	5.46
35	1u1w	5.85	4.81
36	2bvd	6.0	5.02
37	2aac	2.22	4.0
38	1tok	2.47	3.91
39	1dy4	4.36	6.92
40	1uz4	3.4	4.73
41	1gww	4.28	5.58
42	1x8d	2.21	4.64
43	1ui0	7.06	3.57
44	1lrh	6.82	4.0
45	1nw5	5.21	5.55
46	1v1j	4.82	4.42
47	2qrk	4.26	4.84
48	1h46	3.57	7.0
49	1gx0	4.28	5.64
50	4ubp	5.59	3.62
51	1bcj	3.7	5.09
52	1toj	3.39	3.38
53	1ia1	7.47	5.81
54	1sg0	7.47	5.41
55	1t9b	6.9	7.28
56	1of6	6.05	5.66
57	1t40	7.96	6.41
58	1mmv	7.24	4.37
59	1r55	6.8	5.67
60	1p2y	5.0	4.78
61	1sq5	4.39	5.35
62	1u1c	5.37	6.37
63	1r9o	5.02	4.98
64	1s19	9.51	7.47
65	1of1	4.82	6.49
66	1v4s	6.44	6.52
