	PDB	Labels	Predictions
0	4fjk	6.55	4.19
1	2v7u	5.9	5.3
2	2hzl	6.57	5.96
3	2q89	6.3	5.56
4	1ukb	3.19	3.57
5	3c2f	2.0	6.22
6	2gz2	5.22	4.83
7	2v7v	6.66	5.19
8	3bu1	8.15	4.38
9	2qdt	5.19	5.08
10	1toi	4.05	2.07
11	2hzy	7.39	2.54
12	2pwd	4.4	4.16
13	2nsl	4.68	4.86
14	2qrl	4.0	3.48
15	2j4k	4.85	3.52
16	2cjp	3.1	5.33
17	1iup	2.54	2.99
18	2qry	8.64	5.75
19	2ihk	4.16	5.24
20	2nsj	4.79	4.86
21	2e2p	4.74	5.05
22	2pwg	4.82	3.21
23	2b3f	6.03	5.54
24	3brn	8.7	4.85
25	3c2r	3.11	4.49
26	2jgb	5.61	4.43
27	1tog	3.22	2.07
28	2v7t	7.48	6.07
29	2vhw	5.09	4.98
30	2q88	5.8	5.58
31	2vmd	3.02	3.99
32	3c2o	3.35	4.45
33	2ihj	4.59	5.24
34	1e2k	4.94	4.72
35	1u1w	5.85	2.87
36	2bvd	6.0	4.51
37	2aac	2.22	4.65
38	1tok	2.47	2.0
39	1dy4	4.36	5.4
40	1uz4	3.4	5.31
41	1gww	4.28	4.82
42	1x8d	2.21	5.73
43	1ui0	7.06	4.05
44	1lrh	6.82	3.18
45	1nw5	5.21	4.2
46	1v1j	4.82	3.9
47	2qrk	4.26	5.55
48	1h46	3.57	4.75
49	1gx0	4.28	4.82
50	4ubp	5.59	5.59
51	1bcj	3.7	3.56
52	1toj	3.39	2.07
53	1ia1	7.47	4.69
54	1sg0	7.47	4.9
55	1t9b	6.9	5.17
56	1of6	6.05	3.5
57	1t40	7.96	8.39
58	1mmv	7.24	4.2
59	1r55	6.8	6.82
60	1p2y	5.0	4.5
61	1sq5	4.39	4.18
62	1u1c	5.37	5.09
63	1r9o	5.02	5.65
64	1s19	9.51	8.0
65	1of1	4.82	4.63
66	1v4s	6.44	5.66
