PDB	Labels	Predictions
4ypw	4FD	5.50	4.06
4ypx	4FG	4.60	3.84
4ypy	4F9	3.80	3.58
4ypz	4FL	3.50	4.02
4yq0	4FM	4.40	4.65
4yq1	4FN	8.30	6.91
4yq2	EFY	8.30	6.89
4yq3	4G1	6.80	6.44
4yq4	4G3	5.70	4.16
4yq5	4G0	5.40	5.00
4yq6	4FX	6.10	4.50
4yq7	4G4	5.20	4.68
4yq8	4FV	5.10	4.99
4yq9	4GO	6.70	5.36
4yqa	4GN	6.30	5.05
4yqb	4GM	5.90	4.40
4yqc	EFW	6.70	5.92
4yqd	4GZ	5.10	5.22
4yqg	4GY	5.70	4.23
4yqi	4GX	4.80	4.29
4yqj	4GT	6.20	5.09
4yqk	4GS	4.70	4.33
4yql	4H4	4.80	5.09
4yqn	4H3	5.80	5.80
4yqo	4H1	6.30	5.24
4yqp	4H6	5.70	5.40
4yqq	4H7	6.10	5.36
4yqr	4HQ	4.00	4.28
4yqs	4H9	5.60	4.33
4yqt	4H8	6.10	5.01
4yjo	4DF	7.90	7.96
4yjp	4DL	8.46	7.46
4yjq	4DK	7.95	7.08
4yjr	4DJ	7.69	7.15
4yjs	4DN	9.39	7.38
4yjt	4DQ	8.79	7.83
4yju	4DO	7.94	7.74
4yjv	4DT	8.55	7.52
4ykr	4EP	7.53	6.12
4ykq	4EO	7.61	6.02
4ykt	4EQ	8.28	7.86
4ykw	4ES	7.02	7.28
4ykx	4ET	5.56	4.34
4ykz	4EV	5.06	3.63
4yky	4EU	4.30	3.47
4yku	4ER	5.12	4.77
