	PDB	Labels	Predictions
0	4fjk	6.55	4.7
1	2v7u	5.9	6.12
2	2hzl	6.57	3.68
3	2q89	6.3	5.49
4	1ukb	3.19	3.62
5	3c2f	2.0	5.36
6	2gz2	5.22	4.94
7	2v7v	6.66	6.42
8	3bu1	8.15	4.54
9	2qdt	5.19	4.74
10	1toi	4.05	4.16
11	2hzy	7.39	5.77
12	2pwd	4.4	4.87
13	2nsl	4.68	4.5
14	2qrl	4.0	4.07
15	2j4k	4.85	5.49
16	2cjp	3.1	3.58
17	1iup	2.54	4.11
18	2qry	8.64	6.62
19	2ihk	4.16	6.51
20	2nsj	4.79	4.5
21	2e2p	4.74	4.71
22	2pwg	4.82	4.93
23	2b3f	6.03	4.34
24	3brn	8.7	5.36
25	3c2r	3.11	4.32
26	2jgb	5.61	4.36
27	1tog	3.22	4.16
28	2v7t	7.48	6.51
29	2vhw	5.09	5.29
30	2q88	5.8	4.13
31	2vmd	3.02	5.91
32	3c2o	3.35	4.28
33	2ihj	4.59	6.51
34	1e2k	4.94	6.74
35	1u1w	5.85	3.91
36	2bvd	6.0	3.84
37	2aac	2.22	3.65
38	1tok	2.47	4.14
39	1dy4	4.36	5.16
40	1uz4	3.4	4.22
41	1gww	4.28	4.61
42	1x8d	2.21	6.77
43	1ui0	7.06	3.67
44	1lrh	6.82	5.29
45	1nw5	5.21	5.99
46	1v1j	4.82	4.43
47	2qrk	4.26	4.53
48	1h46	3.57	5.12
49	1gx0	4.28	4.61
50	4ubp	5.59	7.14
51	1bcj	3.7	3.34
52	1toj	3.39	4.16
53	1ia1	7.47	4.99
54	1sg0	7.47	4.15
55	1t9b	6.9	6.6
56	1of6	6.05	6.7
57	1t40	7.96	7.74
58	1mmv	7.24	4.12
59	1r55	6.8	7.43
60	1p2y	5.0	5.65
61	1sq5	4.39	6.23
62	1u1c	5.37	5.34
63	1r9o	5.02	5.28
64	1s19	9.51	8.57
65	1of1	4.82	6.39
66	1v4s	6.44	5.53
