PDB	Labels	Predictions
1gm8	SOX	4.80	4.60
1gpk	HUP	5.37	6.20
1hnn	SKF	6.24	6.89
1hp0	AD3	6.70	3.55
1hq2	PH2	6.77	4.88
1hvy	D16	6.17	6.96
1hwi	115	7.55	7.09
1hww	SWA	7.70	5.35
1ia1	TQ3	7.47	5.78
1j3j	CP6	8.01	5.63
1jd0	AZM	8.24	7.10
1jje	BYS	8.43	5.72
1ke5	LS1	6.25	6.27
1kzk	JE2	10.40	8.18
1l2s	STC	4.59	4.44
1l7f	BCZ	9.10	7.17
1lpz	CMB	7.60	8.20
1lrh	NLA	6.82	5.88
1m2z	DEX	7.22	8.03
1mmv	3AR	7.24	5.13
1n1m	A3M	5.70	6.37
1n2v	BDI	4.08	4.77
1n46	PFA	10.52	7.40
1nav	IH5	7.60	6.54
1of1	SCT	4.82	5.73
1of6	DTY	6.05	5.47
1opk	P16	9.82	7.56
1oq5	CEL	7.68	8.12
1owe	675	6.20	6.94
1oyt	FSN	7.24	7.43
1p2y	NCT	5.00	4.51
1p62	GEO	4.66	6.28
1pmn	984	8.15	8.29
1q1g	MTI	8.57	6.08
1q41	IXM	7.66	7.36
1q4g	BFL	6.89	5.04
1r1h	BIR	8.92	5.51
1r55	097	6.80	6.46
1r58	AO5	6.96	6.97
1r9o	FLP	5.02	5.49
1s19	MC9	9.51	7.90
1s3v	TQD	7.42	7.33
1sg0	STL	7.47	5.76
1sj0	E4D	9.10	8.02
1sq5	PAU	4.39	4.05
1sqn	NDR	9.40	8.35
1t40	ID5	7.96	7.09
1t46	STI	6.38	7.22
1t9b	1CS	6.90	6.34
1tow	CRZ	6.24	5.78
1tt1	KAI	7.19	7.78
1u1c	BAU	5.37	4.50
1uml	FR4	7.52	6.90
1unl	RRC	6.70	6.68
1uou	CMU	7.70	5.43
1v0p	PVB	6.89	7.77
1v48	HA1	8.16	7.23
1v4s	MRK	6.44	6.88
1vcj	IBA	4.59	7.09
1w1p	GIO	2.30	2.66
1w2g	THM	4.57	4.04
1xm6	5RM	6.38	6.67
1xoq	ROF	9.17	9.06
1xoz	CIA	8.92	8.49
1y6b	AAX	7.42	8.47
1ygc	905	9.46	7.92
1yqy	915	7.62	5.77
1ywr	LI9	7.49	7.64
1z95	198	7.12	9.53
2bm2	PM2	7.82	5.75
2br1	PFP	5.14	5.99
2bsm	BSM	5.82	7.47
