	PDB	Labels	Predictions
0	4fjk	6.55	7.98
1	2v7u	5.9	4.67
2	2hzl	6.57	3.59
3	2q89	6.3	3.79
4	1ukb	3.19	3.42
5	3c2f	2.0	7.99
6	2gz2	5.22	5.42
7	2v7v	6.66	6.82
8	3bu1	8.15	4.1
9	2qdt	5.19	3.75
10	1toi	4.05	5.91
11	2hzy	7.39	6.65
12	2pwd	4.4	5.09
13	2nsl	4.68	4.07
14	2qrl	4.0	6.89
15	2j4k	4.85	4.22
16	2cjp	3.1	5.37
17	1iup	2.54	4.48
18	2qry	8.64	6.59
19	2ihk	4.16	4.16
20	2nsj	4.79	4.04
21	2e2p	4.74	5.08
22	2pwg	4.82	5.06
23	2b3f	6.03	6.77
24	3brn	8.7	4.1
25	3c2r	3.11	4.05
26	2jgb	5.61	5.08
27	1tog	3.22	5.91
28	2v7t	7.48	5.54
29	2vhw	5.09	5.17
30	2q88	5.8	3.02
31	2vmd	3.02	3.93
32	3c2o	3.35	5.37
33	2ihj	4.59	4.14
34	1e2k	4.94	7.86
35	1u1w	5.85	5.27
36	2bvd	6.0	2.81
37	2aac	2.22	3.39
38	1tok	2.47	4.86
39	1dy4	4.36	7.91
40	1uz4	3.4	4.9
41	1gww	4.28	4.69
42	1x8d	2.21	4.37
43	1ui0	7.06	3.73
44	1lrh	6.82	3.45
45	1nw5	5.21	4.73
46	1v1j	4.82	5.26
47	2qrk	4.26	6.0
48	1h46	3.57	6.91
49	1gx0	4.28	4.7
50	4ubp	5.59	6.1
51	1bcj	3.7	2.65
52	1toj	3.39	5.89
53	1ia1	7.47	6.97
54	1sg0	7.47	5.1
55	1t9b	6.9	7.39
56	1of6	6.05	7.1
57	1t40	7.96	7.25
58	1mmv	7.24	6.66
59	1r55	6.8	5.93
60	1p2y	5.0	7.63
61	1sq5	4.39	3.2
62	1u1c	5.37	7.38
63	1r9o	5.02	3.88
64	1s19	9.51	7.88
65	1of1	4.82	7.63
66	1v4s	6.44	6.44
